name,type,tags,notes,Canon,Wiki?,wiki_url,wiki_title,wiki_description,wiki_image
Torre Caltara,Forts and Castles,,,FALSE,FALSE,,,,
Castle Blèches,Forts and Castles,,,FALSE,FALSE,,,,
Château Dumas,Forts and Castles,,,FALSE,FALSE,,,,
Château Vaillotte,Forts and Castles,,,FALSE,FALSE,,,,
Château Henri du Graal,Forts and Castles,,,FALSE,FALSE,,,,
Château le Bord,Forts and Castles,,,FALSE,FALSE,,,,
Château Rochette,Forts and Castles,,,FALSE,FALSE,,,,
Château sur la Brienne,Forts and Castles,,,FALSE,FALSE,,,,
Château Brusse,Forts and Castles,,,FALSE,FALSE,,,,
Château Perraches,Forts and Castles,,,FALSE,FALSE,,,,
Castle Rackspire,Forts and Castles,,,FALSE,FALSE,,,,
Roezfels,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Reiksguard,Forts and Castles,,,FALSE,FALSE,,,,
Glimdwarrow,Gnome Burrows,,,FALSE,FALSE,,,,
Menglethrudha,Gnome Burrows,,,FALSE,FALSE,,,,
Lowashowe,Gnome Burrows,,,FALSE,FALSE,,,,
Nommendinas,Gnome Burrows,,,FALSE,FALSE,,,,
Roskarrek,Gnome Burrows,,,FALSE,FALSE,,,,
Sacred Ground of Blessed Shallya,Monasteries and Temples,,,FALSE,FALSE,,,,
The Place of Shining Rock,Monasteries and Temples,,,FALSE,FALSE,,,,
Shrine of Gadd,Monasteries and Temples,,,FALSE,FALSE,,,,
The Last Skaranorak Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Three Peaks,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Heiligerberg,Monasteries and Temples,,,FALSE,FALSE,,,,
Drakwald College of the Holy Wolf,Monasteries and Temples,,,FALSE,FALSE,,,,
St. Ulrika's Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
Comet and Sky Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
Granger Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
Sigmar's Rest,Monasteries and Temples,,,FALSE,FALSE,,,,
Blessed Brothers of Blood Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Forged Hammer,Monasteries and Temples,,,FALSE,FALSE,,,,
Silverfire Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
The Great Hospice,Monasteries and Temples,,,FALSE,FALSE,,,,
Berith's Garden,Monasteries and Temples,,,FALSE,FALSE,,,,
Wolf's Watch,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Blessed Fang,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Eternal Watch,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Holy Word,Monasteries and Temples,,,FALSE,FALSE,,,,
Order of the Northern Cross,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Broken Branch,Monasteries and Temples,,,FALSE,FALSE,,,,
Chapterhouse of the Shattered Lance,Monasteries and Temples,,,FALSE,FALSE,,,,
Altern Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
Hammer's Lodge,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of Leopold,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of Invidious Silence,Monasteries and Temples,,,FALSE,FALSE,,,,
Karlsbaum Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Schrammel Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Blessed Anna,Monasteries and Temples,,,FALSE,FALSE,,,,
Seven Dovers Hospice,Monasteries and Temples,,,FALSE,FALSE,,,,
Abandoned Shrine of Lowengen,Monasteries and Temples,,,FALSE,FALSE,,,,
Blessded Magmis Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
The Ravenstones of Blessed Mortin,Monasteries and Temples,,,FALSE,FALSE,,,,
Sigmartempel,Monasteries and Temples,,,FALSE,FALSE,,,,
Redclaw Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Blessed Saal Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Grey Wolf Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Throat of Tides,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Red Coral,Monasteries and Temples,,,FALSE,FALSE,,,,
Stormguard Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Wolfheim,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Ulric's Creed,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Ulric Resplendant,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Blessed Aethelbert the Vigilant,Monasteries and Temples,,,FALSE,FALSE,,,,
Shrine of the Wolf,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Blessed Ragnar,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Winter King,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Purging Hammer,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Purging Word,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Smith-Monks of Sigmar's Blood,Monasteries and Temples,,,FALSE,FALSE,,,,
Watch-Abbey of the Anvils of Sigmar,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Cleansing Flame,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Pewter Hammer,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Helena,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Ewald,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Healing Spring,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Aelaric the Wanderer,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Taal's Tears,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Order of the Anvil,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Fiery Heart,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the White Stag,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Redwald,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Wilfrid,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Saint Gisla of Styrmark,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Society of the Bear,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Silver Mane,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of St. Aetius the Strong,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Saint Joachim the Steadfast,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Gilded Comet,Monasteries and Temples,,,FALSE,FALSE,,,,
Cloister of the Roaring Stag,Monasteries and Temples,,,FALSE,FALSE,,,,
La Maisontaal Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
The Humble Chapel,Monasteries and Temples,,,FALSE,FALSE,,,,
Hospice of Saint Guet,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Gillemont,Monasteries and Temples,,,FALSE,FALSE,,,,
Priory of Fayard,Monasteries and Temples,,,FALSE,FALSE,,,,
Pied-a-Cochon Shrine,Monasteries and Temples,,,FALSE,FALSE,,,,
Chapel of Frenegonde,Monasteries and Temples,,,FALSE,FALSE,,,,
Mont-Saint-Gilles,Monasteries and Temples,,,FALSE,FALSE,,,,
Grail Chapel of Malmont,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Saint Cheval,Monasteries and Temples,,,FALSE,FALSE,,,,
Grail Chapel of Saint Gilles le Breton,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Saint Beatrice,Monasteries and Temples,,,FALSE,FALSE,,,,
Chapel of the Enchantress,Monasteries and Temples,,,FALSE,FALSE,,,,
Cathedral of Bastonne,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Grail Companions,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Holy Wine,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Shallya's Sons,Monasteries and Temples,,,FALSE,FALSE,,,,
Grail Chapel of Saint Remy,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Baoust the Seafarer,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Saint Pollard,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Saint Hughes,Monasteries and Temples,,,FALSE,FALSE,,,,
Grail Chapel du Roi,Monasteries and Temples,,,FALSE,FALSE,,,,
Reikgott Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Benevolent Tides,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Manann's Trident,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Crested Wave,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Saint Feulard,Monasteries and Temples,,,FALSE,FALSE,,,,
Chapel du Leonceour,Monasteries and Temples,,,FALSE,FALSE,,,,
Plague Hospital of Saint Claret,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Verena Iudex,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Combecreuse,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of Saint-Clottard,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of Sigmar Victorius,Monasteries and Temples,,,FALSE,FALSE,,,,
Shrine of the Divine Comet,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Sacred Wood,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of St. Martin of the Hammer,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of St. Flavia,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Spring Hunt,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Order of Deserved Rest,Monasteries and Temples,,,FALSE,FALSE,,,,
Way Temple of the Black Boar and the White Wolf,Monasteries and Temples,,,FALSE,FALSE,,,,
Shrine of the Three Dragons,Monasteries and Temples,,,FALSE,FALSE,,,,
Way Shrine of the Third Comet,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Eternal Watch,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Silent Raven,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Shrouded Man,Monasteries and Temples,,,FALSE,FALSE,,,,
Way Temple of Wilfred the Wild,Monasteries and Temples,,,FALSE,FALSE,,,,
Steinbachtal Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
The Karlsbaum Monastery,Monasteries and Temples,,,FALSE,FALSE,,,,
Monasteryof the Broken Haft,Monasteries and Temples,,,FALSE,FALSE,,,,
Oberteufel Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Sacred Bond,Monasteries and Temples,,,FALSE,FALSE,,,,
Garden of the Black Rose,Monasteries and Temples,,,FALSE,FALSE,,,,
Anbolt Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
High Summer Temple,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Radiant Dawn,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Holy Valley,Monasteries and Temples,,,FALSE,FALSE,,,,
Hermitage of the White Stag,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the White Star,Monasteries and Temples,,,FALSE,FALSE,,,,
Fortified Temple of Coming Spring,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of the Sleeping Bear,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Spirit of the Land,Monasteries and Temples,,,FALSE,FALSE,,,,
The Tsar's Hospice,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Salyak's Calm,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Emsk,Monasteries and Temples,,,FALSE,FALSE,,,,
Lodge of the Keepers of the Hunt,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Great Orthodoxy,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Dark Maiden,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Saint Abelard,Monasteries and Temples,,,FALSE,FALSE,,,,
Wayshrine to Liadriel,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of Sigmarite Sisters,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of Pskoi,Monasteries and Temples,,,FALSE,FALSE,,,,
Wayshrine of Twisted Antlers,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Blessed Cornelia,Monasteries and Temples,,,FALSE,FALSE,,,,
Cappella dell'Ultima Resistenza di Tarlozzo,Monasteries and Temples,,,FALSE,FALSE,,,,
Eremitaggio di Nahmud,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Santa Margherita,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Sant'Annabeta,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Black Tides,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Sword and Spear,Monasteries and Temples,,,FALSE,FALSE,,,,
Convent of Myrmidia Furiosa,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of Perpetual Silence,Monasteries and Temples,,,FALSE,FALSE,,,,
Chapel of the Six Mysteries,Monasteries and Temples,,,FALSE,FALSE,,,,
Temple of the Light of Knowledge,Monasteries and Temples,,,FALSE,FALSE,,,,
Shrine of the Seven Mercies,Monasteries and Temples,,,FALSE,FALSE,,,,
Clipeo della Furia Abbey,Monasteries and Temples,,,FALSE,FALSE,,,,
Abbey of Askara,Monasteries and Temples,,,FALSE,FALSE,,,,
Monastery of the Order of the Shroud,Monasteries and Temples,,,FALSE,FALSE,,,,
Tomb of the Lost Ones,Other,,,FALSE,FALSE,,,,
The Kromlech,Other,,,FALSE,FALSE,,,,
Darkstone Ring,Other,,,FALSE,FALSE,,,,
Farbrandt's Tomb,Other,,,FALSE,FALSE,,,,
Asyrine Tower,Other,,,FALSE,FALSE,,,,
Devil's Bowl,Other,,,FALSE,FALSE,,,,
Black Rock Mine,Other,,,FALSE,FALSE,,,,
West Azgaraz Trading Post,Other,,,FALSE,FALSE,,,,
East Azgaraz Trading Post,Other,,,FALSE,FALSE,,,,
