name,type,tags,notes,wiki_url,wiki_title,wiki_description,wiki_image
Neuautlerburg,Forts and Castles,,,,,,
Bernsteinschloss,Forts and Castles,,,,,,
Helspire,Forts and Castles,,,,,,
Blackstone Tower,Forts and Castles,,,,,,
Schloss Drachenfels,Forts and Castles,,Castle Drachenfels,,,,
Blood Keep,Forts and Castles,WFRP2RB,,,,,
Turm Lebendorf,Forts and Castles,,,,,,
Turm Königstein,Forts and Castles,,,,,,
Schloss Tempelhof,Forts and Castles,,,,,,
Vanhaldenschlosse,Forts and Castles,,,,,,
Konradswacht,Forts and Castles,,,,,,
Fest Bracher,Forts and Castles,,,,,,
Nachtschloss,Forts and Castles,,,,,,
Gallerschloss,Forts and Castles,,,,,,
Burg Senkhof,Forts and Castles,,,,,,
Schloss Drakenhof,Forts and Castles,,Castle Drakenhof,,,,
Haus Rattenburg,Forts and Castles,,,,,,
Burg Wartenhof,Forts and Castles,,,,,,
Zherdenschloss,Forts and Castles,,,,,,
Burg Regak,Forts and Castles,,,,,,
Turm Crannach,Forts and Castles,,,,,,
Melkiorsturm,Forts and Castles,,,,,,
Burg Bylorhof,Forts and Castles,,,,,,
Burg Szlechin,Forts and Castles,,,,,,
Merwillsturm,Forts and Castles,,,,,,
Burg Kleindorf,Forts and Castles,,,,,,
Schloss von Diehl,Forts and Castles,,,,,,
Festung Heldenhame,Forts and Castles,,,,,,
Schloss Obelstein,Forts and Castles,,,,,,
Fort Denkh,Forts and Castles,,,,,,
Schloss Middenstag,Forts and Castles,location:Empire,Castle Middenstag,,,,
Schloss Midfast,Forts and Castles,location:Empire,,,,,
Jägerfestung,Forts and Castles,location:Empire,,,,,
Brass Keep,Forts and Castles,location:Empire,,,,,
Nordenwacht,Forts and Castles,location:Empire,,,,,
Jutongard,Forts and Castles,location:Empire,,,,,
Schloss Geschler,Forts and Castles,location:Empire,,,,,
Fort Blackfire,Forts and Castles,location:Empire,,,,,
Altturm,Forts and Castles,location:Empire,,,,,
Sternschloss,Forts and Castles,location:Empire,,,,,
Sigmarstein,Forts and Castles,location:Empire,,,,,
Festung Immelscheid,Forts and Castles,location:Empire,Fort Immelsheid,,,,
Turm Lasterhaft,Forts and Castles,location:Empire,,,,,
Schloss Merwinwald,Forts and Castles,location:Empire,,,,,
Burg Totenkopf,Forts and Castles,location:Empire,,,,,
Holzkrugburg,Forts and Castles,location:Empire,,,,,
Thurgenburg,Forts and Castles,location:Empire,,,,,
Schloss Linter,Forts and Castles,location:Empire,,,,,
Schloss Bildhofen,Forts and Castles,location:Empire,,,,,
Rottefachturm,Forts and Castles,location:Empire,,,,,
Rijker's Isle,Forts and Castles,location:Westerland,,,,,
Bokenhof,Forts and Castles,location:Empire,,,,,
Castle Lenkster,Forts and Castles,location:Empire,,,,,
Schloss Ferlangst,Forts and Castles,location:Empire,,,,,
Schleuselschloss,Forts and Castles,location:Empire,,,,,
Höhewacht Tower,Forts and Castles,location:Empire,,,,,
Frugelschloss,Forts and Castles,location:Empire,,,,,
Grubewache Castle,Forts and Castles,location:Empire,,,,,
Castle Grautal,Forts and Castles,location:Empire,,,,,
Fort Oberstyre,Forts and Castles,location:Empire,,,,,
Kustlandhaus,Forts and Castles,location:Empire,,,,,
Fort Neustift,Forts and Castles,location:Empire,,,,,
Festung Dunkelrabe,Forts and Castles,location:Empire,,,,,
Festung Wolfsrudel,Forts and Castles,location:Empire,,,,,
Jagdschloss Wisent,Forts and Castles,location:Empire,,,,,
Taal's Horn Keep,Forts and Castles,location:Empire,,,,,
Château D'yon,Forts and Castles,,,,,,
Fort Villeroy,Forts and Castles,,,,,,
Tancred Castle,Forts and Castles,,,,,,
Château Basquet,Forts and Castles,,,,,,
Château Lambor,Forts and Castles,,,,,,
Grasgar Castle,Forts and Castles,,,,,,
Castle Rachard,Forts and Castles,,,,,,
Château Oisement,Forts and Castles,,,,,,
Turris Vigilans,Forts and Castles,,,,,,
Castle Desfleuve,Forts and Castles,,,,,,
Sanglac Castle,Forts and Castles,,,,,,
Castle Gransette,Forts and Castles,,,,,,
Château d'Epee,Forts and Castles,,,,,,
Castle Bastonne,Forts and Castles,,,,,,
Castle Garamont,Forts and Castles,,,,,,
Castle Sangasse,Forts and Castles,,,,,,
Castle Artois,Forts and Castles,,,,,,
Barley Motte,Forts and Castles,,,,,,
Castle Aquin,Forts and Castles,,,,,,
Castle Carrard,Forts and Castles,,,,,,
Fort Solstice,Forts and Castles,,,,,,
Summerfall Fort,Forts and Castles,,,,,,
Castle Carcassonne,Forts and Castles,,,,,,
Garban Hold,Forts and Castles,,,,,,
Grenouille Gate,Forts and Castles,,,,,,
Gaudaron Keep,Forts and Castles,,,,,,
Crac de Sang,Forts and Castles,,,,,,
Château Lovarre,Forts and Castles,,,,,,
La Salvegarde,Forts and Castles,,,,,,
Château de Chegney,Forts and Castles,,,,,,
La Maumotte,Forts and Castles,,,,,,
Château Billot,Forts and Castles,,,,,,
Fort Lagalant,Forts and Castles,,,,,,
Donjon de Dol,Forts and Castles,,,,,,
Château Godiveau,Forts and Castles,,,,,,
Château d'Orquelis,Forts and Castles,,,,,,
Château Valois,Forts and Castles,,,,,,
Château Herry,Forts and Castles,,,,,,
La Neuferte,Forts and Castles,,,,,,
Château Langon,Forts and Castles,,,,,,
Château d'Andousse,Forts and Castles,,,,,,
Château Chablis,Forts and Castles,,,,,,
Château Thibault,Forts and Castles,,,,,,
Bergbres,Forts and Castles,,,,,,
Fort Henaff,Forts and Castles,,,,,,
Château Pendrach,Forts and Castles,,,,,,
Château Planquet,Forts and Castles,,,,,,
Château Roux,Forts and Castles,,,,,,
Château Bugnaud,Forts and Castles,,,,,,
Château Eponine,Forts and Castles,,,,,,
Château Fluvia,Forts and Castles,,,,,,
Black Fire Keep,Forts and Castles,,,,,,
Castle Alexandronov,Forts and Castles,,,,,,
Fort Kaminski,Forts and Castles,,,,,,
Fort Ostrosk,Forts and Castles,,,,,,
Fort Ulfegzny,Forts and Castles,,,,,,
Fort Skaehold,Forts and Castles,,,,,,
Fort Urslo,Forts and Castles,,,,,,
Schloss Sudengard,Forts and Castles,,,,,,
Boxbergschloss,Forts and Castles,,,,,,
Castle Graustark,Forts and Castles,,,,,,
Schloss Hammerfels,Forts and Castles,,,,,,
Schloss Blassel,Forts and Castles,,,,,,
Eastern Bastion,Forts and Castles,,,,,,
High Tower,Forts and Castles,,,,,,
Southern Castle,Forts and Castles,,,,,,
Wyrmschloss,Forts and Castles,,,,,,
Iron Keep,Forts and Castles,,,,,,
Kupferschloss,Forts and Castles,,,,,,
Stoneclaw Castle,Forts and Castles,,,,,,
Fort Marvik,Forts and Castles,,,,,,
The Warden's Keep,Forts and Castles,,,,,,
Fort Dragoon,Forts and Castles,,,,,,
Fort Dwarrslav,Forts and Castles,,,,,,
Fort Dorznye-Vort,Forts and Castles,,,,,,
Fortress of Capitano Sisicco,Forts and Castles,,,,,,
Dragon Tooth Lighthouse,Forts and Castles,,,,,,
Long Drong's Stronghold,Forts and Castles,,,,,,
Castello di Rugazzi,Forts and Castles,,,,,,
Castello Novalesi,Forts and Castles,,,,,,
Torre Luscara,Forts and Castles,,,,,,
Torre Caltara,Forts and Castles,,,,,,
Castle Blèches,Forts and Castles,,,,,,
Château Dumas,Forts and Castles,,,,,,
Château Vaillotte,Forts and Castles,,,,,,
Château Henri du Graal,Forts and Castles,,,,,,
Château le Bord,Forts and Castles,,,,,,
Château Rochette,Forts and Castles,,,,,,
Château sur la Brienne,Forts and Castles,,,,,,
Château Brusse,Forts and Castles,,,,,,
Château Perraches,Forts and Castles,,,,,,
Castle Rackspire,Forts and Castles,,,,,,
Roezfels,Forts and Castles,,,,,,
Schloss Reiksguard,Forts and Castles,,,,,,
Glimdwarrow,Gnome Burrows,,,,,,
Menglethrudha,Gnome Burrows,,,,,,
Lowashowe,Gnome Burrows,,,,,,
Nommendinas,Gnome Burrows,,,,,,
Roskarrek,Gnome Burrows,,,,,,
Sacred Ground of Blessed Shallya,Monasteries and Temples,,,,,,
The Place of Shining Rock,Monasteries and Temples,,,,,,
Shrine of Gadd,Monasteries and Temples,,,,,,
The Last Skaranorak Temple,Monasteries and Temples,,,,,,
Temple of the Three Peaks,Monasteries and Temples,,,,,,
Abbey of the Heiligerberg,Monasteries and Temples,,,,,,
Drakwald College of the Holy Wolf,Monasteries and Temples,,,,,,
St. Ulrika's Abbey,Monasteries and Temples,,,,,,
Comet and Sky Abbey,Monasteries and Temples,,,,,,
Granger Abbey,Monasteries and Temples,,,,,,
Sigmar's Rest,Monasteries and Temples,,,,,,
Blessed Brothers of Blood Monastery,Monasteries and Temples,,,,,,
Monastery of the Forged Hammer,Monasteries and Temples,,,,,,
Silverfire Abbey,Monasteries and Temples,,,,,,
The Great Hospice,Monasteries and Temples,,,,,,
Berith's Garden,Monasteries and Temples,,,,,,
Wolf's Watch,Monasteries and Temples,,,,,,
Monastery of the Blessed Fang,Monasteries and Temples,,,,,,
Monastery of the Eternal Watch,Monasteries and Temples,,,,,,
Monastery of the Holy Word,Monasteries and Temples,,,,,,
Order of the Northern Cross,Monasteries and Temples,,,,,,
Monastery of the Broken Branch,Monasteries and Temples,,,,,,
Chapterhouse of the Shattered Lance,Monasteries and Temples,,,,,,
Altern Abbey,Monasteries and Temples,,,,,,
Hammer's Lodge,Monasteries and Temples,,,,,,
Temple of Leopold,Monasteries and Temples,,,,,,
Temple of Invidious Silence,Monasteries and Temples,,,,,,
Karlsbaum Monastery,Monasteries and Temples,,,,,,
Schrammel Monastery,Monasteries and Temples,,,,,,
Abbey of Blessed Anna,Monasteries and Temples,,,,,,
Seven Dovers Hospice,Monasteries and Temples,,,,,,
Abandoned Shrine of Lowengen,Monasteries and Temples,,,,,,
Blessded Magmis Monastery,Monasteries and Temples,,,,,,
The Ravenstones of Blessed Mortin,Monasteries and Temples,,,,,,
Sigmartempel,Monasteries and Temples,,,,,,
Redclaw Monastery,Monasteries and Temples,,,,,,
Blessed Saal Monastery,Monasteries and Temples,,,,,,
Grey Wolf Temple,Monasteries and Temples,,,,,,
Throat of Tides,Monasteries and Temples,,,,,,
Temple of the Red Coral,Monasteries and Temples,,,,,,
Stormguard Temple,Monasteries and Temples,,,,,,
Wolfheim,Monasteries and Temples,,,,,,
Monastery of Ulric's Creed,Monasteries and Temples,,,,,,
Monastery of Ulric Resplendant,Monasteries and Temples,,,,,,
Abbey of Blessed Aethelbert the Vigilant,Monasteries and Temples,,,,,,
Shrine of the Wolf,Monasteries and Temples,,,,,,
Monastery of Blessed Ragnar,Monasteries and Temples,,,,,,
Abbey of the Winter King,Monasteries and Temples,,,,,,
Monastery of the Purging Hammer,Monasteries and Temples,,,,,,
Monastery of the Purging Word,Monasteries and Temples,,,,,,
Abbey of the Smith-Monks of Sigmar's Blood,Monasteries and Temples,,,,,,
Watch-Abbey of the Anvils of Sigmar,Monasteries and Temples,,,,,,
Abbey of the Cleansing Flame,Monasteries and Temples,,,,,,
Monastery of the Pewter Hammer,Monasteries and Temples,,,,,,
Abbey of Saint Helena,Monasteries and Temples,,,,,,
Abbey of Saint Ewald,Monasteries and Temples,,,,,,
Abbey of the Healing Spring,Monasteries and Temples,,,,,,
Abbey of Aelaric the Wanderer,Monasteries and Temples,,,,,,
Abbey of Taal's Tears,Monasteries and Temples,,,,,,
Abbey of the Order of the Anvil,Monasteries and Temples,,,,,,
Monastery of the Fiery Heart,Monasteries and Temples,,,,,,
Monastery of the White Stag,Monasteries and Temples,,,,,,
Abbey of Saint Redwald,Monasteries and Temples,,,,,,
Abbey of Saint Wilfrid,Monasteries and Temples,,,,,,
Monastery of Saint Gisla of Styrmark,Monasteries and Temples,,,,,,
Abbey of the Society of the Bear,Monasteries and Temples,,,,,,
Monastery of the Silver Mane,Monasteries and Temples,,,,,,
Abbey of St. Aetius the Strong,Monasteries and Temples,,,,,,
Monastery of Saint Joachim the Steadfast,Monasteries and Temples,,,,,,
Abbey of the Gilded Comet,Monasteries and Temples,,,,,,
Cloister of the Roaring Stag,Monasteries and Temples,,,,,,
La Maisontaal Abbey,Monasteries and Temples,,,,,,
The Humble Chapel,Monasteries and Temples,,,,,,
Hospice of Saint Guet,Monasteries and Temples,,,,,,
Hermitage of Gillemont,Monasteries and Temples,,,,,,
Priory of Fayard,Monasteries and Temples,,,,,,
Pied-a-Cochon Shrine,Monasteries and Temples,,,,,,
Chapel of Frenegonde,Monasteries and Temples,,,,,,
Mont-Saint-Gilles,Monasteries and Temples,,,,,,
Grail Chapel of Malmont,Monasteries and Temples,,,,,,
Hermitage of Saint Cheval,Monasteries and Temples,,,,,,
Grail Chapel of Saint Gilles le Breton,Monasteries and Temples,,,,,,
Hermitage of Saint Beatrice,Monasteries and Temples,,,,,,
Chapel of the Enchantress,Monasteries and Temples,,,,,,
Cathedral of Bastonne,Monasteries and Temples,,,,,,
Abbey of the Grail Companions,Monasteries and Temples,,,,,,
Abbey of the Holy Wine,Monasteries and Temples,,,,,,
Monastery of Shallya's Sons,Monasteries and Temples,,,,,,
Grail Chapel of Saint Remy,Monasteries and Temples,,,,,,
Abbey of Saint Baoust the Seafarer,Monasteries and Temples,,,,,,
Abbey of Saint Pollard,Monasteries and Temples,,,,,,
Hermitage of Saint Hughes,Monasteries and Temples,,,,,,
Grail Chapel du Roi,Monasteries and Temples,,,,,,
Reikgott Temple,Monasteries and Temples,,,,,,
Temple of the Benevolent Tides,Monasteries and Temples,,,,,,
Monastery of Manann's Trident,Monasteries and Temples,,,,,,
Temple of the Crested Wave,Monasteries and Temples,,,,,,
Hermitage of Saint Feulard,Monasteries and Temples,,,,,,
Chapel du Leonceour,Monasteries and Temples,,,,,,
Plague Hospital of Saint Claret,Monasteries and Temples,,,,,,
Monastery of Verena Iudex,Monasteries and Temples,,,,,,
Monastery of Combecreuse,Monasteries and Temples,,,,,,
Hermitage of Saint-Clottard,Monasteries and Temples,,,,,,
Temple of Sigmar Victorius,Monasteries and Temples,,,,,,
Shrine of the Divine Comet,Monasteries and Temples,,,,,,
Monastery of the Sacred Wood,Monasteries and Temples,,,,,,
Monastery of St. Martin of the Hammer,Monasteries and Temples,,,,,,
Monastery of St. Flavia,Monasteries and Temples,,,,,,
Temple of the Spring Hunt,Monasteries and Temples,,,,,,
Monastery of the Order of Deserved Rest,Monasteries and Temples,,,,,,
Way Temple of the Black Boar and the White Wolf,Monasteries and Temples,,,,,,
Shrine of the Three Dragons,Monasteries and Temples,,,,,,
Way Shrine of the Third Comet,Monasteries and Temples,,,,,,
Temple of the Eternal Watch,Monasteries and Temples,,,,,,
Abbey of the Silent Raven,Monasteries and Temples,,,,,,
Abbey of the Shrouded Man,Monasteries and Temples,,,,,,
Way Temple of Wilfred the Wild,Monasteries and Temples,,,,,,
Steinbachtal Monastery,Monasteries and Temples,,,,,,
The Karlsbaum Monastery,Monasteries and Temples,,,,,,
Monasteryof the Broken Haft,Monasteries and Temples,,,,,,
Oberteufel Temple,Monasteries and Temples,,,,,,
Abbey of the Sacred Bond,Monasteries and Temples,,,,,,
Garden of the Black Rose,Monasteries and Temples,,,,,,
Anbolt Abbey,Monasteries and Temples,,,,,,
High Summer Temple,Monasteries and Temples,,,,,,
Monastery of the Radiant Dawn,Monasteries and Temples,,,,,,
Monastery of the Holy Valley,Monasteries and Temples,,,,,,
Hermitage of the White Stag,Monasteries and Temples,,,,,,
Abbey of the White Star,Monasteries and Temples,,,,,,
Fortified Temple of Coming Spring,Monasteries and Temples,,,,,,
Abbey of the Sleeping Bear,Monasteries and Temples,,,,,,
Monastery of the Spirit of the Land,Monasteries and Temples,,,,,,
The Tsar's Hospice,Monasteries and Temples,,,,,,
Monastery of Salyak's Calm,Monasteries and Temples,,,,,,
Abbey of Emsk,Monasteries and Temples,,,,,,
Lodge of the Keepers of the Hunt,Monasteries and Temples,,,,,,
Monastery of the Great Orthodoxy,Monasteries and Temples,,,,,,
Monastery of the Dark Maiden,Monasteries and Temples,,,,,,
Monastery of Saint Abelard,Monasteries and Temples,,,,,,
Wayshrine to Liadriel,Monasteries and Temples,,,,,,
Temple of Sigmarite Sisters,Monasteries and Temples,,,,,,
Temple of Pskoi,Monasteries and Temples,,,,,,
Wayshrine of Twisted Antlers,Monasteries and Temples,,,,,,
Monastery of Blessed Cornelia,Monasteries and Temples,,,,,,
Cappella dell'Ultima Resistenza di Tarlozzo,Monasteries and Temples,,,,,,
Eremitaggio di Nahmud,Monasteries and Temples,,,,,,
Monastery of Santa Margherita,Monasteries and Temples,,,,,,
Monastery of Sant'Annabeta,Monasteries and Temples,,,,,,
Monastery of the Black Tides,Monasteries and Temples,,,,,,
Monastery of the Sword and Spear,Monasteries and Temples,,,,,,
Convent of Myrmidia Furiosa,Monasteries and Temples,,,,,,
Monastery of Perpetual Silence,Monasteries and Temples,,,,,,
Chapel of the Six Mysteries,Monasteries and Temples,,,,,,
Temple of the Light of Knowledge,Monasteries and Temples,,,,,,
Shrine of the Seven Mercies,Monasteries and Temples,,,,,,
Clipeo della Furia Abbey,Monasteries and Temples,,,,,,
Abbey of Askara,Monasteries and Temples,,,,,,
Monastery of the Order of the Shroud,Monasteries and Temples,,,,,,
Tomb of the Lost Ones,Other,,,,,,
The Kromlech,Other,,,,,,
Darkstone Ring,Other,,,,,,
Farbrandt's Tomb,Other,,,,,,
Asyrine Tower,Other,,,,,,
Devil's Bowl,Other,,,,,,
Black Rock Mine,Other,,,,,,
West Azgaraz Trading Post,Other,,,,,,
East Azgaraz Trading Post,Other,,,,,,
De Blanc's School for Girls,Other,,,,,,
Tower of Vane,Other,,,,,,
Mound of Krell,Other,,,,,,
Karagril (Silverhorn),Other,,,,,,
Karag Lhune (Crescent Mountain),Other,,,,,,
Karag Zilfin (Windswept Mountain),Other,,,,,,
Karag Yar (Sunset Mountain),Other,,,,,,
Karag Rhyn (Mount Redstone),Other,,,,,,
Kvinn-Wyr (White Lady),Other,,,,,,
Karag Nar (Sunrise Mountain),Other,,,,,,
Karag Drakkloc (Dragon Peak),Other,,,,,,
Karag Grim,Other,,,,,,
Mordheim,Other,"""source:WFRP2RB""",,,,,
Bugman's Brewery,Other,"""source:4eLoSaS""",Ruined. Current canon location is now in Karak Norn as per 4eLoSaS,,,,
Guerac Circle,Other,,,,,,
Barrows of Cuileux,Other,,,,,,
Pillar of the Azure Man,Other,"""source:4eAotE1""",,,,,
Ruins of Kor Immarmor,Other,"""source:4eAotE1""",,,,,
Landrel's Barrow,Other,,,,,,
Karag Mhonar (Shadow Mountain),Other,,,,,,
Chamon Dharek,Other,,,,,,
The Dark Citadel,Other,,,,,,
Tomb of Asavar Kul,Other,,,,,,
Black Peaks Mine,Other,,,,,,
Rose Ruins,Other,,,,,,
Zamak Spayenya,Other,,,,,,
The Bear's Teeth,Other,,,,,,
The Mammoth Boneyard,Other,,,,,,
Srebrolyuby Mine,Other,,,,,,
Siauliai Mine,Other,,,,,,
The Old Bögenauer,Taverns and Inns,4eEiS,,,,,
The Festival Rest,Taverns and Inns,4eEiS,,,,,
The Child and Hammer,Taverns and Inns,4eEiS,,,,,
The Wynn's Scale,Taverns and Inns,4eEiS,,,,,
The Nobody Knows,Taverns and Inns,4eEiS,,,,,
The War Mask,Taverns and Inns,4eEiS,,,,,
The New Unberogen,Taverns and Inns,4eEiS,,,,,
The Wagon and Mule,Taverns and Inns,4eEiS,,,,,
The Imperial Cross,Taverns and Inns,4eEiS,,,,,
The Auld Hill,Taverns and Inns,4eEiS,,,,,
The Anvil's Sister,Taverns and Inns,4eEiS,,,,,
The Old Prince,Taverns and Inns,4eEiS,,,,,
The Summer Rose,Taverns and Inns,4eEiS,,,,,
The Pelt and Trunk,Taverns and Inns,4eEiS,,,,,
The Graf Manfred,Taverns and Inns,4eEiS,,,,,
The Drake,Taverns and Inns,4eEiS,,,,,
The Sheep Market,Taverns and Inns,4eEiS,,,,,
Seven Spokes,Taverns and Inns,4eEiS,,,,,
The Auld Granger,Taverns and Inns,4eEiS,,,,,
The Mortician's Basket,Taverns and Inns,4eEiS,,,,,
The Countless Arms,Taverns and Inns,4eEiS,,,,,
The Skull and Crown,Taverns and Inns,4eEiS,,,,,
The Matthais,Taverns and Inns,4eEiS,,,,,
The Four Horns,Taverns and Inns,4eEiS,,,,,
The Coach and Horses,Taverns and Inns,4eEiS,,,,,
The Five Brothers Lodge,Taverns and Inns,,,,,,
The Swamp Palace,Taverns and Inns,,,,,,
The Long Tooth,Taverns and Inns,,,,,,
The Yellow Eye Tavern,Taverns and Inns,,,,,,
The Horned Father,Taverns and Inns,,,,,,
The Bell Inn,Taverns and Inns,,,,,,
The Delb Down,Taverns and Inns,,,,,,
The Third Brother,Taverns and Inns,,,,,,
The Four-Eyed Skull,Taverns and Inns,,,,,,
The Brass Monkey,Taverns and Inns,,,,,,
The Hog and Doe,Taverns and Inns,,,,,,
The Burning Heretic,Taverns and Inns,,,,,,
The Wheelhouse,Taverns and Inns,,,,,,
The Dangling Thread,Taverns and Inns,,,,,,
The Mantle and Stoker,Taverns and Inns,,,,,,
The Third Comet,Taverns and Inns,,,,,,
The Bear and Cock Pit,Taverns and Inns,,,,,,
The Tupping Ram,Taverns and Inns,,,,,,
The Boar and Child,Taverns and Inns,,,,,,
The Three Doves,Taverns and Inns,,,,,,
The Luitpold Inn,Taverns and Inns,,,,,,
Rainwood Inn,Taverns and Inns,,,,,,
The Crowned Kestrel,Taverns and Inns,,,,,,
The Ram's Horn,Taverns and Inns,,,,,,
The Hobbled Orc,Taverns and Inns,,,,,,
Broken Wheel Inn,Taverns and Inns,,,,,,
The Wolf's Head,Taverns and Inns,,,,,,
The Lusty Soldier,Taverns and Inns,,,,,,
The Stork's Nest,Taverns and Inns,,,,,,
The Lady in Green,Taverns and Inns,,,,,,
Naila's Crossing,Taverns and Inns,,,,,,
The Raging Bull,Taverns and Inns,,,,,,
The Croaking Frog,Taverns and Inns,,,,,,
The Forest Sprite,Taverns and Inns,,,,,,
The Broken Wheel,Taverns and Inns,,,,,,
The Stork and Fox,Taverns and Inns,,,,,,
The Cock and Fox,Taverns and Inns,,,,,,
The Two-Mast Barge,Taverns and Inns,,,,,,
The Woodsman's Axe,Taverns and Inns,,,,,,
The Lonely Road,Taverns and Inns,,,,,,
The Drunken Shepherd,Taverns and Inns,,,,,,
The Broken Rudder,Taverns and Inns,,,,,,
The Two Rivers,Taverns and Inns,,,,,,
The Nymph and the Fisherman,Taverns and Inns,,,,,,
The Watery Rest,Taverns and Inns,,,,,,
White Hart Inn,Taverns and Inns,,,,,,
The Four Horses,Taverns and Inns,,,,,,
The Wainwright,Taverns and Inns,,,,,,
The Badger and Wolf,Taverns and Inns,,,,,,
The Tired Coachman,Taverns and Inns,,,,,,
The Red Stork,Taverns and Inns,,,,,,
The Maid and Unicorn,Taverns and Inns,,,,,,
The Marsh Hare,Taverns and Inns,,,,,,
The Prancing Doe,Taverns and Inns,,,,,,
The Hen and Wolf,Taverns and Inns,,,,,,
The Sword and Plough,Taverns and Inns,,,,,,
The Boar's Head,Taverns and Inns,,,,,,
The Red Arrow,Taverns and Inns,,,,,,
Toad in the Hole,Taverns and Inns,,,,,,
The Magpie and Crown,Taverns and Inns,,,,,,
The Three Staves,Taverns and Inns,,,,,,
The Red Sunrise,Taverns and Inns,,,,,,
The Third Pfennig,Taverns and Inns,,,,,,
The Auld House,Taverns and Inns,,,,,,
The Pilgrim's Rest,Taverns and Inns,,,,,,
The Hen's Roost,Taverns and Inns,,,,,,
The Bröckel Arms,Taverns and Inns,,,,,,
The Quiet Place,Taverns and Inns,,,,,,
The Count's Own,Taverns and Inns,,,,,,
Brownhill Inn,Taverns and Inns,,,,,,
The Count's Arms,Taverns and Inns,,,,,,
The Grey Mare,Taverns and Inns,,,,,,
The Wagon's Wheel,Taverns and Inns,,,,,,
The Friedendorf Feather,Taverns and Inns,,,,,,
The Orc's Head,Taverns and Inns,,,,,,
The Meatpie Inn,Taverns and Inns,,,,,,
The Green Leaf,Taverns and Inns,,,,,,
The Last Chance,Taverns and Inns,,,,,,
The Gunner's Aim,Taverns and Inns,,,,,,
The Longbeard's Pride,Taverns and Inns,,,,,,
Bugman's Own,Taverns and Inns,,,,,,
The Golden Grapes,Taverns and Inns,,,,,,
The Horn's Call,Taverns and Inns,,,,,,
The Diehl Arms,Taverns and Inns,,,,,,
The Duellist's Blade,Taverns and Inns,,,,,,
The Shepherd's Vale,Taverns and Inns,,,,,,
The Bretonnian Farmer,Taverns and Inns,,,,,,
The Mad Count,Taverns and Inns,,,,,,
Between Two Trees,Taverns and Inns,,,,,,
The Menogothic Crown,Taverns and Inns,,,,,,
Siggurd's Shield,Taverns and Inns,,,,,,
The Queen of the River,Taverns and Inns,,,,,,
The Emperor's Chalice,Taverns and Inns,,,,,,
The Steps,Taverns and Inns,,,,,,
The Lower Branch,Taverns and Inns,,,,,,
The Spoiled Prince,Taverns and Inns,,,,,,
The Grandfather Tree,Taverns and Inns,,,,,,
The Count of Krieglitz,Taverns and Inns,,,,,,
The Doe and Flowers,Taverns and Inns,,,,,,
The Last Lantern,Taverns and Inns,,,,,,
The Red Deer,Taverns and Inns,,,,,,
The Salty Hill,Taverns and Inns,,,,,,
Ye Auld Styrlande,Taverns and Inns,,,,,,
The Forest Hearth,Taverns and Inns,,,,,,
The Half-Way House,Taverns and Inns,,,,,,
The Bildhofen Arms,Taverns and Inns,,,,,,
