Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Preslav,820,,"Agriculture, Timber","""source:StS#5""",Largest town in the Wheatland Colonies,,,,,,,,,,,
Ptorsk,,,,"""source:RotIQ""",,,,,,,,,,,,
Rakhov,950,,"Agriculture, Timber, Vodka","""source:StS#5""",Largest settlement in southern Kislev,,,,,,,,,,,
Ramejk,,,,"""source:RotIQ""",,,,,,,,,,,,
Resov,,,,"""source:RotIQ""",,,Southern Oblast,,,,,,,,,
Resyvnhaf,,,,"""source:RotIQ""",,,,,,,,,,,,
Selkow,95,,Agriculture,"""source:StS#5""",Near Shallyan convent of Daikop,,,,,,,,,,,
Sepukzy,,,,"""source:RotIQ""",,,Eastern Oblast,,,,,,,,,
Shatsk,525,,"Ore, Metalwork","""source:StS#5""",Located in the foothills of the Worlds Edge Mountains,,,,,,,,,,,
Slavyanaska,,,,"""source:TOW""",,,Southern Oblast,,,,,,,,,
Smonya,,,,"""source:RotIQ""",,,,,,,,,,,,
Starogrod,800,,"Fishing, Agriculture","""source:StS#5""",,,,,,,,,,,,
Svedora,1847,,,"""source:TOW""",,,Northern Oblast,,,,,,,,,
Ungalya,,,,"""source:TOW""",,,Western Oblast,,,,,,,,,
Urszebya,,,,"""source:WFB6e""",,,tbd,,,,,,,,,
Uskovic,,,,"""source:RotIQ""",,,,,,,,,,,,
Uvetsyn,,,,"""source:RotIQ""",,,,,,,,,,,,
Vdovya,,,,"""source:RotIQ""",,,,,,,,,,,,
Velsk,350,,"Timber, Fur","""source:StS#5""",Translynsk town,,,,,,,,,,,
Vitevo,3118,,,"""source:RotIQ""",,,Southern Oblast,,,,,,,,,
Vitkal,,,,"""source:RotIQ""",,,tbd,,,,,,,,,
Vitzy,,,,"""source:TOW""",,,Western Oblast,,,,,,,,,
Volchara,,,,"""source:RotIQ""",,,,,,,,,,,,
Volkolamsk,620,,"Agriculture, Ore","""source:StS#5""",Translynsk town,,,,,,,,,,,
Volksgrad,4855,,,"""source:RotIQ""",,,Eastern Oblast,,,,,,,,,
Yetchitch,1983,,,"""source:TWW3, source:TOW""",,,Eastern Oblast,,,,,,,,,
Yvegka,,,,"""source:RotIQ""",,,,,,,,,,,,
Zamoski,,,,"""source:TOW""",,,"""Eastern Steppes"" ?",,,,,,,,,
Zavstra,4623,,,"""source:RotIQ""",,,Western Oblast,,,,,,,,,
Zhanyka,,,,"""source:TOW""",,,Southern Oblast,,,,,,,,,
Zhedevka,,,,"""source:WFB6e""",,,tbd,,,,,,,,,
Zhidyrna,3812,,,"""source:RotIQ""",,,,,,,,,,,,
Zoishenk,4652,,,"""source:RotIQ""",,,Northern Oblast,,,,,,,,,
Zvenilev,2916,,,"""source:RotIQ""",,,Northern Oblast,,,,,,,,,
Zwolen,4250,,"Trade, Timber, Fur","""source:StS#5""","Near the Imperial border where the Urskoy meets the Talabec, ferry",,,,,,,,,,,
