Settlement,Type,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Grung Ardzufak,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Elgazund,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Kraka Drak,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Kuldungor,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Ravik,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Kraka Ravnsvake,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Stekbrud,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Bordkarag,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Sjoktraken,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Kraka Dorden,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Dobekzhuf,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Fneldurk,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Kraka Ornsmotek,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Diratduraz,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Dumund,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Karag Dromar,Grung (Mining Settlement),,,source:TWW3,,,,,,,,,,,,
Karak Varn (Cragmere),Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karak Drazh (Black Crag),Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karak Azgal,Karak (Great Hold),,,source:2eKAAotDC,fallen,,,,,,,,,,,
Ekrund,Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karak Ungor (Red-Eye Mountain),Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karak Vlag,Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karag Agilwutraz (Mount Silverspear),Karak (Great Hold),,,source:1eDSaS,fallen,,,,,,,,,,,
Karag Gunbad,Khazid (Town),,,source:1eDSaS,fallen,,,,,,,,,,,
Karak Skygg,Karak (Great Hold),,,source:4eTHRC,fallen,,,,,,,,,,,
Kazad Drengi (Keep of the First Slayer),Kazad (Fortress),,,source:4eTHRC,fallen,,,,,,,,,,,
Karak Kazarak,Karak (Great Hold),,,source:4eMCotWW,fallen,,,,,,,,,,,
Oakenhammer,Khazid (Town),,,source:TWW3,,,,,,,,,,,,
Migdhal Agril,Kazad (Fortress),,,source:4eStartSet,,,,,,,,,,,,
Khazid Kro,Khazid (Town),,,source:Vermintide2,,,,,,,,,,,,
Karak Gnol,Karak (Great Hold),,,source:Vermintide2,,,,,,,,,,,,
