Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Lengenfeld,4923,,,"""source:2eSH""",,,Averland,,,Countess Carmilla von Sachs,,,,,,
Longingbruck,4466,,,"""source:2eSH""",,,Averland,,,Countess Selena von Kusch,,,,,,
Mantel,482,,,"""source:2eSH""",,,Averland,,,Countess von Sachs,,,,,,
Monheim,350,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Mühlfeld,727,,,"""source:2eSH""",,,Averland,,,Count Kastor Leitdorf,,,,,,
Naabeck,242,,,"""source:2eSH""",,,Averland,,,Count von Grünwald,,,,,,
Neustein,1533,,,,,,Averland,,,,,,,,,
Pferdstadt,988,,,,,,Averland,,,,,,,,,
Pfungzig,11764,,,"""source:2eSH""",,,Averland,,,Count Dieter von Heine,,,,,,
Pilsach,1005,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Radring,1499,,,,,,Averland,,,,,,,,,
Richernbad,985,,,,,,Averland,,,,,,,,,
Ruhgsdorf,577,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Sarheim,4444,,,"""source:4eAotE1""",,,Averland,,,,,,,,,
Sechsen,1532,,,,,,Averland,,,,,,,,,
Sempscheid,2023,,,,,,Averland,,,,,,,,,
Siegenhausen,989,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Siegplatz,1002,,,,,,Averland,,,,,,,,,
Sorghof,1001,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Spalt,433,,,"""source:2eSH""",,,Averland,,,Count von Grünwald,,,,,,
Streissen,19774,,,"""source:2eSH""",,,Averland,,,Grand Count Marius Leitdorf,,,https://warhammerfantasy.fandom.com/wiki/Streissen,Streissen,"Streissen is a town in Averland that harbors a ferry system, and a history of volatile conspiracy. If the spirit of revolution has taken hold among the usually traditional Averlanders, it is in the town of Streissen. A town with a small university and medical school, Streissen has always been ready to take in new ideas from elsewhere, such that Averlanders often refer to someone from Streissen as “not quite right in the head,” or “too much under the influence of Nulners and Stirlanders.” Streissen’s middle and upper classes take pride in their relative openness to new ideas and think of themselves as Averland’s intellectual elite.",https://static.wikia.nocookie.net/warhammerfb/images/4/47/Streissen.png/revision/latest?cb=20160726160519
Tandern,514,,,"""source:2eSH""",,,Averland,,,Countess von Kusch,,,,,,
Tannfeld,376,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Thalenbad,994,,,,,,Averland,,,,,,,,,
Thann,381,,,"""source:2eSH""",,,Averland,,,Count Kastor Leitdorf,,,,,,
Treffenheim,500,,,,,,Averland,,,,,,,,,
Turmwache,1529,,,,,,Averland,,,,,,,,,
Utharhof,1524,,,,,,Averland,,,,,,,,,
Vellach,1009,,,,,,Averland,,,,,,,,,
Volsbach,338,,,"""source:2eSH""",,,Averland,,,Baron Hindenberg,,,,,,
Wangfeld,1004,,,,,,Averland,,,,,,,,,
Willenfeld,423,,,"""source:2eSH""",,,Averland,,,Countess Leitdorf,,,,,,
Wollestadt,1978,,,,,,Averland,,,,,,,,,
Wuppertal,5383,,,"""source:2eSH""",,,Averland,,,Count Kastor Leitdorf,,,,,,
Zang,361,,,"""source:2eSH""",,,Averland,,,Countess von Kusch,,,,,,
Zartbitterhof,989,,,,,,Averland,,,,,,,,,
Zell,814,,,"""source:2eSH""",,,Averland,,,Count von Heine,,,,,,
Zorje,2562,,,"""source:4eAotE1""",,,Averland,,,,,,,,,
Zummarkt,1005,,,,,,Averland,,,,,,,,,
Ackerstein,822,,,,,,Hochland,,,,,,,,,
Barwedel,3732,,,"""source:2eSH""",,,Hochland,,,Baron Auerbach,,,,,,
Ahresdorf,3908,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Bergsburg,8249,,,"""source:4eAotE1""",,,Hochland,,,,,,,,,
Bergendorf,2285,,,"""source:2eSH""",,,Hochland,,,,,,https://warhammerfantasy.fandom.com/wiki/Bergendorf,Bergendorf,"Bergendorf was a village sacked in 2522 IC, its population of 93 still missing.",https://static.wikia.nocookie.net/warhammerfb/images/b/b1/Bergendorf_map.png/revision/latest?cb=20170519133802
Estelberg,1536,,,,,,Hochland,,,,,,,,,
Babinov,1457,,,,,,Hochland,,,,,,,,,
Gruyden,4373,,,"""source:2eSH""",,,Hochland,,,Baron Gregor Auerbach,,,https://warhammerfantasy.fandom.com/wiki/Gruyden,Gruyden,"Gruyden is a small Imperial Shrine Village that is located just a hundred miles south-west from the capital of Hochland, Hergig. Ruled by the famously devout Auerbach family, the village of Gruyden sits along a branch of roads off the New Road to Hergig. Interspersed among the homes and cottages of the population are amazing shrines to all the major gods of the Empire, with those of Sigmar, Taal and Rhya being the largest.",https://static.wikia.nocookie.net/warhammerfb/images/2/26/Gruyden.PNG/revision/latest?cb=20150919202934
Stöckse,1021,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Vodf,988,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Grübel,949,,,,,,Hochland,,,,,,,,,
Müden,550,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Hergig,15541,,,"""source:2eSH""",,,Hochland,,,,,,https://warhammerfantasy.fandom.com/wiki/Hergig,Hergig,"The capital of Hochland, Hergig is home to the Ludenhof family and was once the site of a mighty fortress, originally with a population of 9,200. Hergig was also home to the Hochland College of Sorcery, a school licensed by the Emperor for the academic study of magic and its theory. With quarries nearby, the town before the Storm of Chaos was rebuilding itself as a modern place of stone and brick, its small Dwarf Quarter supplying their skills in the construction.",https://static.wikia.nocookie.net/warhammerfb/images/8/89/Hergig.png/revision/latest?cb=20160726154415
Selmigerholz,536,,,"""source:2eSH""",,,Hochland,,,Grand Baron Ludenhof,,,,,,
Breder,525,,,"""source:2eSH""",,,Hochland,,,Count Torsten von Schiller,,,,,,
Schippel,516,,,,,,Hochland,,,,,,,,,
Garssen,515,,,"""source:2eSH""",,,Hochland,,,Grand Baron Ludenhof,,,,,,
Dunstigfurt,507,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Povel,498,,,,,,Hochland,,,,,,,,,
Wannsingen,492,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Talfen,488,,,,,,Hochland,,,,,,,,,
Krudenwald,13458,,,"""source:2eSH""",,,Hochland,,,Grand Baron Ludenhof,,,,,,
Haultholz,249,,,,,,Hochland,,,,,,,,,
Esk,1242,,,"""source:2eSH""",,,Hochland,,,Baron Aldebrand Ludenhof,,,https://warhammerfantasy.fandom.com/wiki/Esk,Esk,"Esk is a small mining and logging town in Hochland, most noted for its nearby copper mines. Raw ore was smelted into ingots and then shipped down river to Bergendorf for further distribution, as that route was often safer than the shorter road. The nearby castle was home to the bailiff of Esk, a retainer of Elector Count Aldebrand Ludenhof.",https://static.wikia.nocookie.net/warhammerfb/images/5/57/Esk.png/revision/latest?cb=20160726160218
Denkh,239,,,"""source:2eSH""",,,Hochland,,,,,,,,,
Hovelhof,218,,,"""source:4ePBtTC""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Hovelhof,Hovelhof,"A map of Middenheim; Hovelhof lies in the centre of the province. Hovelhof is a small impoverished Imperial village, perched atop a high hill with spectacular views eastward to the mountains and southward to Middenheim. The air is sweet and clear, the upland meadows lush, and the sky is a vibrant, cloudless blue.",https://static.wikia.nocookie.net/warhammerfb/images/f/fd/Warhammer_Lands_around_Middenheim2.png/revision/latest?cb=20230917094226
Koerin,233,,,"""source:2eSH""",,,Hochland,,,Baron Reiner Landsteiner,,,,,,
Grabmalholz,232,,,,,,Hochland,,,,,,,,,
Ahlenhof,14666,,,"""source:2eSH""",,,Middenland,,,Baron Emil von Kotzebue,,,,,,
Anseldorf,252,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Arenberg,983,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Bad Hohne,494,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Barenfähre,1473,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Carroburg,40469,,,"""source:2eSH""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Carroburg,Carroburg,"Carroburg is a small Imperial city that once served as the capital of the former Electoral Province of Drakwald before its formal dissolution in 1124 IC, after which time it became a part of Middenland. Carroburg's economy specializes in trade and the manufacture of glass, and pottery, with its present day ruler being Duke Leopold von Bildhofen.",https://static.wikia.nocookie.net/warhammerfb/images/9/9e/Total_War_Warhammer_Carroburg_Heraldry.webp/revision/latest?cb=20230825220506
Delberz,18309,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,https://warhammerfantasy.fandom.com/wiki/Delberz,Delberz,"Delberz is an important Imperial town and port on the Middenheim-Altdorf Road in Middenland. Situated on the River Delb along the Middenheim-Altdorf Road, Delberz is a prosperous mercantile community well known for the quality of its local wines. Several inns dot the town; some have large stables attached that cater to caravans, while others by the docks offer warehousing services as a sideline.",https://static.wikia.nocookie.net/warhammerfb/images/e/e4/Delberz_map.png/revision/latest?cb=20170519184623
Delbfurt,2523,,,,,,Middenland,,,,,,,,,
Delbren,3491,,,"""source:AndyLaw""",,,Middenland,,,,,,,,,
Dunkelbild,250,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Elsterweld,1976,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Fintel,503,,,"""source:2eSH""",,,Middenland,,,Baron Ludolf von Bildhofen,,,,,,
Gladbeich,322,,,"""source:4ePBtTC""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Gladbeich,Gladbeich,"A traveller approaches the village of Gladbeich. Gladbeich is a sleepy little Imperial village located several days' journey east of Middenheim, in the Barony of Holzbek along the Kleiflusch River. Lately, dreadful cries are reported to shake the very stones of the nearby Middle Mountains at all hours.",https://static.wikia.nocookie.net/warhammerfb/images/b/ba/Gladbeich.png/revision/latest?cb=20230921000530
Grevenfeld,493,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Grimmenhagen,6522,,,"""source:2eSH""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Grimmenhagen,Grimmenhagen,"Grimmenhagen is a walled town, its people were accustomed to fighting Beastmen, and over the last few centuries, it had been destroyed and rebuilt many times, each incorporating the ruins of the old to buttress new fortifications to stave off their attackers. In its most recent incarnation, a high wall with towers encircled the place, making it a powerful stronghold to fight against Chaos. Famed for its halberdiers, these troops split their time defending the town and the nearby Sternhauer Keep —the ancestral home of the town's ruler, Graf Elster Sternhauer.",https://static.wikia.nocookie.net/warhammerfb/images/7/7f/WH3_Grimmenhagen_Ravine_POI.png/revision/latest?cb=20241210093236
Grubentreich,1474,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Harsum,244,,,"""source:2eSH""",,,Middenland,,,Graf Sternhauer,,,,,,
Holzbeck,255,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Hunxe,501,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Hupstedt,503,,,"""source:2eSH""",,,Middenland,,,Countess von Goethe,,,,,,
Immelscheid,1530,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Jägerhausen,1488,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Kammendun,502,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Kelp,1500,,,"""source:AndyLaw""",,,Middenland,,,,,,,,,
Koldust,5948,,,"""source:AndyLaw""",,,Middenland,,,,,,,,,
Langwiese,499,,,"""source:2eSH""",,,Middenland,,,Baron von Hutten,,,,,,
Leer,1012,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Leichlinburg,493,,,"""source:2eSH""",,,Middenland,,,,,,,,,
Lindenheim,2550,,,"""source:2eSH""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Lindenheim,Lindenheim,"A map of the rough terrain that comprises the Middle Mountains. The village of Lindenheim lies on the northwestern edge of the mountains. Lindenheim is an Imperial village in Middenland that is a community of foresters and smallholders, centred on the Lindenheim Trading Post, a hub for the region's merchants, farmers, foresters, and trappers to do business.",https://static.wikia.nocookie.net/warhammerfb/images/6/68/Horned_Rat_Companion_Middle_Mountains%E2%80%99.png/revision/latest?cb=20230916114706
Linz,552,,,"""source:4ePBtTC""",,,Middenland,,,,,,,,,
Middenheim,63705,,,"""source:2eSH""",,,Middenland,,,,,,https://warhammerfantasy.fandom.com/wiki/Middenheim,Middenheim,"Middenheim, also known as the Ulricsberg, the Fauschlag (meaning ""Fist-Strike"" in Reikspiel ), or simply the "" City of the White Wolf,"" is amongst the greatest and most fortified fortress-cities within the Old World and beyond. Middenheim is home to the Cult of Ulric and is the greatest city-state of the northern Empire, as well as the capital of the Grand Province of Middenland. The City of the White Wolf is the rock upon which the northern enemies of the Empire have always broken upon.",https://static.wikia.nocookie.net/warhammerfb/images/b/bd/Middenheim.JPG/revision/latest?cb=20150718070232
Middenstag,4475,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,https://warhammerfantasy.fandom.com/wiki/Middenstag,Middenstag,"This forbidding castle, known as the Middenstag, rises up out of the outskirts of the Drakwald. A key garrison of the Knights Panther, those posted here protect the main route from Hochland to Delberz and who patrol the Howling Hills, an area noted for danger.",https://static.wikia.nocookie.net/warhammerfb/images/a/ab/Middenstag.png/revision/latest?cb=20180831174659
Mittelmund,254,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Norderingen,5468,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Oberholzbek,1344,,,"""source:4ePBtTC""",,,Middenland,,,,,,,,,
Pritzstock,1000,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Punzen,253,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Rosche,1012,,,"""source:2eSH""",,,Middenland,,,Baron Simon Bethe,,,,,,
Schattenlas,980,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,https://warhammerfantasy.fandom.com/wiki/Schattenlas,Schattenlas,"Schattenlas is an Imperial village of the Middenland that is little more than a dozen family farmhouses and a granary, built atop a rare patch of high ground protected from flooding. Wood rots fast this close to the Furdienst, so the buildings are raised on stone foundations, and their roofs thatched with reeds. At the base of the hill, 80 yards from the village, a community jetty affixes a couple of fishing boats, and a ferry that helps travellers cross the Furdienst for a fee.",https://static.wikia.nocookie.net/warhammerfb/images/7/7f/Schattenlas.png/revision/latest?cb=20230926092228
Scheinfeld,5507,,,"""source:2eSH""",,,Middenland,,,Countess Kirsten von Goethe,,,,,,
Schmeidorf,3002,,,"""source:AndyLaw""",,,Middenland,,,,,,,,,
Schoninghagen,6080,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Schoppendorf,6974,,,"""source:2eSH""",,,Middenland,,,Count Albers Wasserbad,,,,,,
Schwarzmarkt,1481,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Senden,499,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Sohk,2492,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Solzheim,227,,,"""source:4ePBtTC""",,,Middenland,,,,,,,,,
Sudengard,2485,,,"""source:AndyLaw""",,,Middenland,,,,,,,,,
Suderberg,507,,,"""source:2eSH""",,,Middenland,,,Baron von Kotzebue,,,,,,
Thurgenheim,581,,,"""source:4ePBtTC""",,,Middenland,,,,,,,,,
Turmgever,256,,,"""source:2eSH""",,,Middenland,,,Graf Todbringer,,,,,,
Uder,505,,,"""source:2eSH""",,,Middenland,,,Countess von Goethe,,,,,,
Untergard,1495,,,"""source:2eSH""",,,Middenland,,,Assembly,,,https://warhammerfantasy.fandom.com/wiki/Untergard,Untergard,"Untergard is a young town, founded only a century ago by villagers fleeing the unjust taxes of Graf Sternhauer. They built a bridge across the Taub and soon the town straddled both sides of the river. As the only crossing place south of Grimminhagen, it was a natural target for Archaon's forces and a fierce battle was fought there.",https://static.wikia.nocookie.net/warhammerfb/images/2/2a/Untergard.png/revision/latest?cb=20180831175601
Warrenburg,3465,,,"""source:2eSH; source:4ePBtTC""",,,Middenland,,,,,,,,,
Weidemarkt,1008,,,"""source:2eSH""",,,Middenland,,,Duke von Bildhofen,,,,,,
Winsen,985,,,"""source:2eSH""",,,Middenland,,,Margrave von Streissen,,,,,,
Eicheschatten,6231,,,"""source:2eSH""",,,Mootland,,,,,,https://warhammerfantasy.fandom.com/wiki/Eicheschatten,Eicheschatten,"Eicheschatten, the capital of the Mootland is utterly unprepossessing at first glance. After a longer examination, one’s opinion is confirmed. Home to the Elder of the Mootland, which is the title preferred by Halflings as “Grand Count” sounds “too posh,” Eicheschatten is a collection of winding lanes along the banks of the Aver Reach at the end of the road from Wördern and Halstedt.",https://static.wikia.nocookie.net/warhammerfb/images/e/e6/Warhammer_Eicheschatten.png/revision/latest?cb=20170513042434
Sauerapfel,1367,,,"""source:2eSH""",,,Mootland,,,,,,https://warhammerfantasy.fandom.com/wiki/Sauerapfel,Sauerapfel,"Near where the Aver enters Averland sits the village of Sauerapfel, so named for its famous apple groves, which stretch for miles and miles around the village on both sides of the river. Sauerapfel has close relations with Halstedt, the nearest Stirlander town and its primary market. It also enjoys the revenues from its small port, which handles riverboat traffic entering and leaving the Moot.",https://static.wikia.nocookie.net/warhammerfb/images/b/bd/Halfling_Symbol.jpg/revision/latest?cb=20110517163629
Dreiflussen,645,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Grünhügel,612,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Gipfel,490,,,"""source:2eSH""",,,Mootland,,,,,,https://warhammerfantasy.fandom.com/wiki/Gipfel,Gipfel,"A small village in the heart of the Greenleaf Hills, Gipfel is the centre of tobacco production in the Mootland. There are only a few buildings in town, such as a blacksmith and farrier’s shop, communal warehouses, a small temple to Sigmar and all the Halfling gods, and houses for the nearby farms. An inn called The Three Smoke Rings doubles as the meeting place for the village assembly, which is open to all adults.",https://static.wikia.nocookie.net/warhammerfb/images/d/d3/Gipfels.png/revision/latest?cb=20160201170303
Fallenblatt,481,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Heukern,395,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Einsamholz,331,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Birnbaum,312,,,"""source:2eSH""",,,Mootland,,,,,,,,,
Bogglewort,448,,,"""source:4eAotE1""",,,Mootland,,,,,,,,,
Brandenberry,418,,,"""source:4eAotE1""",,,Mootland,,,,,,,,,
Leedleton,227,,,"""source:4eAotE1""",,,Mootland,,,,,,,,,
Hornsby's Ferry,685,,,"""source:4eAotE1""",,,Mootland,,,,,,,,,
Alfhausen,491,,,"""source:4eSCoSaS""",,,Nordland,,,Baroness Kalb,,,,,,
Beeckerhoven,4494,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,,,,,,,
Auld Troldved,662,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Beelen,251,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron von Neurath,,,,,,
Beilen,251,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron von Hargenfels,,,,,,
Broghur,250,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Burkal,1463,,,"""source:4eSCoSaS""",,,Nordland,,,Baron Köhler,,,,,,
Dietershafen,7399,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron Ludolf Köhler,,,https://warhammerfantasy.fandom.com/wiki/Dietershafen,Dietershafen,Dietershafen is a coastal city in Nordland and current seat of the Second Fleet of the Imperial Navy. Dietershafen is the Empire 's most important coastal seaport. Its shipyards bustle with activity as shipwrights build new vessels for the Second Fleet.,https://static.wikia.nocookie.net/warhammerfb/images/c/c5/Warhammer_Map_of_Nordland.png/revision/latest?cb=20220830083601
Dorfmark,244,,,"""source:4eSCoSaS""",,,Nordland,,,Grand Baron Gausser,,,,,,
Dreizack,247,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Dunkelkiefer,2448,,,"""source:4eSCoSaS""",,,Nordland,,,,,,https://warhammerfantasy.fandom.com/wiki/Dunkelkiefer,Dunkelkiefer,"Dunkelkiefer is a small, isolated settlement of Nordland located near Wrecker's Point. The Jutone Riding is the westernmost county of Nordland, encompassing the remote, desolate headland known colloquially as ""Wrecker's Point."" The isolated region consists of small hamlets, scattered farmsteads, and a few wretched fishing villages. Foremost amongst these pitiful settlements is Dunkelkiefer, where there is a market, a wooden fort, and very little else.",
Dunsen,489,,,"""source:4eSCoSaS""",,,Nordland,,,Grand Baron Gausser,,,,,,
Fernestadt,1228,,,"""source:AndyLaw""",,,Nordland,,,,,,,,,
Forstfast,1976,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Frote,3984,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Grand Baron Theodoric Gausser,,,,,,
Gelting,244,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron von Neurath,,,,,,
Grafenrich,2452,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,,,,,,,
Hargendorf,8363,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron Gunther von Hargenfels,,,https://warhammerfantasy.fandom.com/wiki/Hargendorf,Hargendorf,"Map of Nordland; Hargendorf is located west of Dietershafen, along the coast. Hargendorf is a sizable fishing town of Nordland in the Empire, located west of the port city of Dietershafen. It is the home of the Imperial Navy's Second Fleet.",https://static.wikia.nocookie.net/warhammerfb/images/c/c5/Warhammer_Map_of_Nordland.png/revision/latest?cb=20220830083601
Heiligdorf,1504,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Grand Baron Gausser,,,,,,
Hohenaspe,498,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Hohlendorf,1661,,,,,,Nordland,,,,,,,,,
Hørup,255,,,"""source:4eSCoSaS""",,,Nordland,,,Baron Köhler,,,,,,
Hüven,1017,,,"""source:4eSCoSaS""",,,Nordland,,,Baron Luitpold Nikse,,,,,,
Jutonfels,499,,,,,,Nordland,,,,,,,,,
Köhlen,768,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Kreideklippe,1007,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron von Neurath,,,,,,
Kronven,244,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Kurtwallen,247,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,,,,,,,
Leihafen,512,,,"""source:4eSCoSaS""",,,Nordland,,,,,,,,,
Luftberg,985,,,"""source:2eSH; source:4eSCoSaS""",,,Nordland,,,Baron Ewald von Laue,,,,,,
