name,formal_title,info_description,info_image,info_wiki_url,part_of,population,province_type
ALTDORF,Principality of Altdorf,"Altdorf, known as the ""City of Spires,"" is the current capital city of the Empire of Man, the capital of the Electoral Province of Reikland and an independent Imperial principality in its own right. As the seat of Emperor Karl Franz, Altdorf is the de facto capital of the Empire, and it has been the de jure Imperial capital since the election of Wilhelm III, Prince of Altdorf, to the Imperial throne almost a hundred years ago in 2429 IC.",,https://warhammerfantasy.fandom.com/wiki/Altdorf,Reikland,,Province
UPPER TEUFEL,Archduchy of the Upper Teufel,,,,Reikland,,Province
DUNKELKÜSTE,Barony of the Dunkelküste,,,,Talabecland,,Province
WURTBAD,Barony of Wurtbad,"Wurtbad is an Imperial city and the capital of the Grand Province of Stirland that rests at the terminus of the Old Dwarf Road, surrounded by the Great Forest. By far the largest town in Stirland, its whitewashed walls and buildings and its busy docks and markets tell of a prosperous trading town. By decree of the Elector Counts, all the wine produced in western Stirland must be sold through Wurtbad, earning the town the sobriquet of ""the wine capital of the Empire"". Traders come from all over the Empire and beyond to bid on next year's vintages, and the Vintner's Guild is an important political force.",,https://warhammerfantasy.fandom.com/wiki/Wurtbad,Stirland,,Province
LUCCINI,Ancient Principality of Luccini,,,,Tilea,,Province
MIRAGLIANO,Mighty Principality of Miragliano,,,,Tilea,,Province
PAVONA,Principality of Pavona,,,,Tilea,,Province
SARTOSA,Decadent Pirate Principality of Sartosa,,,,Tilea,,Province
TOBARO,Principality of Tobaro,,,,Tilea,,Province
TRANTIO,Principality of Trantio,,,,Tilea,,Province
REMAS,Republic of Remas,,,,Tilea,,Province
VEREZZO,Serene Republic of Verezzo,,,,Tilea,,Province
KISLEV,Tsardom of Kislev,"Kislev, officially the Tzardom of Kislev, also known as the ""Realm of the Ice Queen,"" and to the Kislevites themselves as ""The Motherland,"" is the most northerly Human realm of the Old World. It is a powerful kingdom defined by the constant need to prepare for incessant warfare against the tribes of the Chaos-worshipping Northmen on their borders. Kislev is known far and wide for having some of the greatest horsemen to ever roam the plains of the southern realms. Ruled by a mighty monarch known as a ""tzar"" or ""tzarina,"" Kislev is a nation born from the saddle, its people's ancestry traced to the mighty horse-warriors of the Gospodar tribe who inhabited the Eastern Steppes for many millennia.",,https://warhammerfantasy.fandom.com/wiki/Kislev,,,Nation-State
NORSCA,Tribes of Norsca,"Norsca is a frigid, arctic peninsula and Human cultural region located in the far north of the Old World, though not officially considered a cultural or historical part of it by southern scholars. Norsca lies on the very doorstep of the northern Chaos Wastes themselves. It is bordered to the south by the freezing waters of the Sea of Claws, to the north by the Sea of Chaos and the Chaos Wastes, and to the east by the roving Kurgan tribes of the Eastern Steppes.",,https://warhammerfantasy.fandom.com/wiki/Norsca,,,Nation-State
ESTALIA,Kingdoms of Estalia,"Estalia is a peninsula of the southwestern Old World that is home to a collection of petty kingdoms of Men sometimes collectively referred to as the Estalian Kingdoms. Estalia is located south of Bretonnia and south-west of the Empire of Man. A warm land of ancient kingdoms that mostly look inward in all matters save for trade, Estalia is known abroad for its affable merchants and talented duellists who are as quick with their wits as their flashing blades. Estalians are a people proud of their beautiful cities and old traditions.",,https://warhammerfantasy.fandom.com/wiki/Estalia,,,Nation-State
TILEA,City-States of Tilea,"Tilea is a large, fertile peninsula located in the southern Old World, along the tranquil coast of the warm and bountiful Tilean Sea. Once a united republic centered on the city of Remas, Tilea has long since fractured into a series of city-states bound by complex trade agreements and elaborate treaties, beset by generations-long vendettas. The wealthy city-states of Tilea, sometimes collectively referred to as the Tilean City-States, dot Tilea's landscape and share similar cultural ideals, embracing trade, exploration, progress, and civil war with almost equal passion.",,https://warhammerfantasy.fandom.com/wiki/Tilea,,,Nation-State
ALBION,Isle of Great Albion,"Albion, also known in some tales as Great Albion, the ""Isle of Mists"", or the ""Misty Island"", is a small, windswept island located off the western coast of Norsca in the Great Ocean a hundred leagues at most north of the coastline of the Empire of Man. It is said that it rains every day in Albion, that the islands are shrouded in mist and heavy fog while the land is predominantly bogs, marshes and fens. This cold, damp and gloomy environment is inhabited by primitive tribes of woad-wearing Men, led by the magic-users known as Truthsayers, sometimes erroneously called ""druids,"" who are the guardians of the mysterious stone circles called Ogham Stones present throughout the island.",,https://warhammerfantasy.fandom.com/wiki/Albion,,,Nation-State
LAURELORN,The Woodland Kingdom of Laurelorn,"Laurelorn Forest is a magical forest that lies on the northern coastline of the Empire of Man, home to reclusive communities of Eonir, a distinct community of Wood Elves. While both Middenland and Nordland claim the forest as theirs, the so-called ""Wood Elves"" dare either to try to enforce their claim. Laurelorn lies west of Salzenmund and the Silver Hills above it, and stretches west to the Imperial borders with the Wasteland.",,https://warhammerfantasy.fandom.com/wiki/Laurelorn_Forest,,,Province
THE EMPIRE,The Empire of Man,"The Empire, officially the Empire of Man, is an electoral monarchy composed of semiautonomous feudal states called ""Electoral Provinces"" or ""Grand Provinces."" The Empire is the largest, most populous, most powerful and most important of the nations of Men in the Old World.",,https://warhammerfantasy.fandom.com/wiki/The_Empire,,,Nation-State
BORDER PRINCES,The Border Principalities,"The Border Principalities are a vast region within the Old World located east of the Tilean city-states between the Black Mountains and Black Fire Pass to the north and the shores of the Black Gulf to the south. This region of vast wilderness is home to a multitude of petty kingdoms of Men that were established by highly ambitious adventurers who sought to create a realm of their own. These adventurers were often political or religious refugees fleeing from other Human realms of the Old World such as the Empire, Bretonnia and Tilea, but also from even more distant lands such as Kislev.",,https://warhammerfantasy.fandom.com/wiki/Border_Princes,,,Nation-State
BRETONNIA,The Royarchy of Bretonnia,"Bretonnia, formally the Kingdom of Bretonnia, also known more prosaically as the ""Land of Chivalry,"" is a highly martial Human feudal kingdom of the Old World that lies between the lands of the Grey Mountains and the Great Ocean. Bretonnia is second only in size to that of the Empire among the realms of Men in the Old World, and is both the Empire's chief rival and closest ally, having a culture and society that revolves around the ideals of nobility, a strict social hierarchy based on aristocratic birthright, and the upholding of a strictly enforced code of chivalry.",,https://warhammerfantasy.fandom.com/wiki/Bretonnia,,,Nation-State
ATHEL LOREN,The Woodland Realm of Athel Loren,"Athel Loren, also known as the Everwood in the Empire, and the Whispering Wood or the Fey Forest among the Dwarfs, is a large forest between the Empire and Bretonnia, on the western slopes of the Grey Mountains. It is here that the Wood Elves established their home millennia ago when the majority of the Elves in the Old World returned to Ulthuan, following the Sundering and the War of the Ancients. Athel Loren is ruled by two powerful Elves called Ariel and Orion who are possessed by deities representative of aspects of nature. They are said to be the aethyric conscience of the forest itself. Ariel being the peaceful regenerative representation of nature, and Orion is the warlike unpredictable side.",,https://warhammerfantasy.fandom.com/wiki/Athel_Loren,,,Nation-State
WESTERLAND,Sovereign Barony of the Westerland,"The Wasteland, formerly the Electoral Province of the Empire of Man known as the Barony of Westerland, or just the Westerland, is the coastal region of moors and swamps that surrounds the mouth of the River Reik and is the homeland of the prosperous commercial city-state of Marienburg. The Wasteland was for centuries a part of the Empire, first conquered in 501 IC by Emperor Sigismund II, until the Westerland seceded during the reign of Emperor Dieter IV in 2429 IC by providing the emperor with a hefty bribe in return for its independence. Thereafter, the region was simply known as ""the Wasteland.""",,https://warhammerfantasy.fandom.com/wiki/The_Wasteland,,,Nation-State
DARK LANDS,The Despotic Hegemony of Zharr-Naggrund,The Dark Lands are a stark and cheerless place in the Far East of the Known World beyond the boundaries of the Old World where nature has rent the ground and burst the mountains apart. Amongst the peaks volcanoes spew black smoke into the filthy sky. In the plains the stench of tar pits and oil pools hangs heavily in the air. Steaming lava from beneath the earth's crust covers the ash wastes with a blanket of bubbling magma.,,https://warhammerfantasy.fandom.com/wiki/Dark_Lands,,,Nation-State
CHAOS WASTES,The Chaos Wastes,"The Chaos Wastes, also known as the Northern Wastes, the Shadowlands, Umbra Chaotica, or simply the Northlands, is a hellish region of barren tundra that lies far to the north of the Old World, the New World and the Far East where the physical world of Mallus is warped by and blends with the magical energies of the Realm of Chaos until it is impossible to tell where one plane ends and the other begins. These are the borderlands of the mortal world which form a ring of shadow that surrounds the ultimate darkness of the Realm of Chaos within.",,https://warhammerfantasy.fandom.com/wiki/Chaos_Wastes,,,Nation-State
THE BADLANDS,The Badlands,"The Badlands, called the ""Blight"" among the Elves, is the name given to a desolate region of barren rock, arid plains and searing desert that stretches between the towering Worlds Edge Mountains and the shores of the Black Gulf located in the southernmost tip of the Old World.",,https://warhammerfantasy.fandom.com/wiki/Badlands,,,Nation-State
NORDLAND,Grand Barony of Nordland,"Nordland, officially the Grand Barony of Nordland, is an Electoral Province of the Empire that lies on the northwestern shores of that realm. The lands of Nordland did not truly exist during the founding of the Empire, for the Was Jutones of what would become both Nordland and Westerland refused Emperor Sigmar's invitation to join his new Empire. It wasn't until the 8th century IC that the Was Jutones were finally subjugated and forced into the Empire as a new province by Emperor Sigismund II.",,https://warhammerfantasy.fandom.com/wiki/Nordland,The Empire,1922000,Grand-Province
OSTLAND,Grand Principality of Ostland,"Ostland, formally the Grand Principality of Ostland, is a founding Electoral Province of the Empire that makes up much of the northern border of that nation. Ostland is a realm of damp, creeping mists and shifting shadows, and is covered almost entirely by the dark canopy of the Forest of Shadows. The people of this land have learned to live out a rugged life among the ancient trees, clearing patches of land for their farms and settlements, and keeping a watchful eye on the dark depths of the forest.",,https://warhammerfantasy.fandom.com/wiki/Ostland,The Empire,1552000,Grand-Province
OSTERMARK,League of Ostermark,"Ostermark, officially the League of Ostermark, but sometimes called the ""East March"", is an Electoral Province of the Empire of Man that was formally founded only very late in Imperial history. It lies at the far north-eastern corner of the Empire. Though Ostermark existed at the time the Empire was founded by Sigmar, the League of Ostermark itself was formed out of the chaos of the late 19th century IC during the Age of Three Emperors, when its former capital of Mordheim was struck by a comet of tremendous size. The resulting destruction of the province's central government and the death of its ruling family led the remaining towns and villages of the lands of Ostermark to band together and form a new, oligarchic government which would later become known as the League of Ostermark.",,https://warhammerfantasy.fandom.com/wiki/Ostermark,The Empire,2233000,Grand-Province
STIRLAND,Grand County of Stirland,"Stirland, officially the Grand County of Stirland, is a founding Electoral Province of the Empire that extends to the eastern frontier of that nation. Stirland is a rugged highland province famous for its rural backwater society and the province's close affiliation with death. Such attitudes stem from the province's close association with its constituent County of Sylvania, a haunted land defined by misty forests, ancient castles resting on craggy peaks like circling vultures and the tendency of its dead to emerge from their graves at regular intervals.",,https://warhammerfantasy.fandom.com/wiki/Stirland,The Empire,3077000,Grand-Province
MIDDENLAND,Grand Duchies of Middenland and Middenheim,"Middenland, officially the Grand Duchies of Middenland and Middenheim, is a founding Electoral Province of the Empire that lies in the north-central region of that realm. Towering above the gloomy canopies of the Drakwald Forest is a sheer-sided pinnacle of white rock atop which sits the fortress city-state of Middenheim, capital of Middenland and the sacred City of the White Wolf. The White Wolf is the holy symbol of Ulric, the Imperial god of war, winter and wolves.",,https://warhammerfantasy.fandom.com/wiki/Middenland,The Empire,3120000,Grand-Province
HOCHLAND,Grand Barony of Hochland,"Hochland, officially the Grand Barony of Hochland, is one of the founding Electoral Provinces of the Empire. It lies in the north-central region of the Old World. Within the boundaries of Hochland, like its neighbor Ostland, lies a portion of the Middle Mountains and vast tracts of untamed wilderness. Because of these similarities, Hochland is often compared to its larger and wealthier northern neighbor. ""Ostland's little brother"" is a term often used to describe the Grand Barony, although never in Hochland itself.",,https://warhammerfantasy.fandom.com/wiki/Hochland,The Empire,744000,Grand-Province
TALABECLAND,Grand Duchy of Talabecland,"Talabecland, officially the Grand Duchy of Talabecland, is one of the founding Electoral Provinces of the Empire of Man and is located at its geographical centre. The provincial capital city of Talabecland is Talabheim, a large city-state built inside a titanic meteorite crater miles upon miles wide. The very province itself is named after Taal, the god of nature and the wilderness in the Old World Pantheon, and he, along with his wife Rhya, goddess of agriculture and fertility, are considered the province's patron gods.",,https://warhammerfantasy.fandom.com/wiki/Talabecland,The Empire,2972000,Grand-Province
REIKLAND,Grand Principality of the Reikland,"Reikland, officially the Grand Principality of the Reikland, is one of the founding Electoral Provinces of the Empire of Man. It is located in the southwestern Empire in the centre of the Old World continent. Reikland has been the most important state of the Empire for nearly one hundred years, for it surrounds Altdorf, the current Imperial capital city, and its state armies are those under the command of the Emperor Karl Franz himself.",,https://warhammerfantasy.fandom.com/wiki/Reikland,The Empire,4281000,Grand-Province
AVERLAND,Grand County of Averland,"Averland, formally the Grand County of Averland or the Grand Duchy of Averland, is a founding Electoral Province of the Empire that lies in the south-eastern corner of that realm. As with the province of Ostermark, Averland has an economy based mostly on agriculture and the raising of cattle and livestock. Unlike most of the other states in the Empire, Averland contains large stretches of unbroken, fertile plains and few woodlands. While this territory is not as fertile as that in Ostermark, it has proved valuable as grazing land for the infamous Averlander cattle herds.",,https://warhammerfantasy.fandom.com/wiki/Averland,The Empire,2756000,Grand-Province
WISSENLAND,Grand County of Wissenland,"Wissenland, formally the Grand County of Wissenland, is a founding Electoral Province of the Empire that lies in the southern reaches of that realm. The province of Wissenland is considered the armoury of the Empire, for it holds within its borders the city-state of Nuln, the largest industrial city within the Old World. From its workshops and factories, the city of Nuln churns out some of the most devastating black-powder weaponry known to Mankind.",,https://warhammerfantasy.fandom.com/wiki/Wissenland,The Empire,4113000,Grand-Province
MOOTLAND,Grand County of the Mootland,"The Mootland, officially the Grand County of the Mootland, and often referred to simply as ""The Moot"", is a minor Electoral Province of the Empire of Man that was formed in the early 11th century IC within the fertile farmlands of the south-central Old World. Located in the junction between the rivers of Blue Reach and the River Aver, the province possesses a rich and highly fertile soil, which always brings in bountiful harvests year after year. For this reason, most of its inhabitants are farmers, and the Moot is one of the main providers of food for the Empire. Located in the junction between the rivers of Blue Reach and the River Aver, the province possesses a rich and highly fertile soil, which always brings in bountiful harvests year after year. For this reason, most of its inhabitants are farmers, and the Moot is one of the main providers of food for the Empire.",,https://warhammerfantasy.fandom.com/wiki/Mootland,The Empire,412000,Grand-Province
COURONNE,Duchy of Couronne,"Couronne, formally the Dukedom of Couronne, is a founding dukedom of Bretonnia that lies upon the northern shores of that realm and is the current seat of power of the king's royal court, which is located in Castle Couronne, the dukedom and the kingdom's capital.",,https://warhammerfantasy.fandom.com/wiki/Couronne,Bretonnia,,Grand-Province
ARTOIS,Duchy of Artois,"Artois, formally the Dukedom of Artois, is a founding dukedom of Bretonnia that lies at the heart of the northern lands of that kingdom. Unlike the lush meadows of Bretonnia's other dukedoms, Artois is famous for being the only dukedom that is covered entirely by forested wilderness, known by the Bretonnians as the Forest of Arden. Due to this, the dukedom is in a constant state of warfare against tribes of Beastmen that have made the forest their new dark home.",,https://warhammerfantasy.fandom.com/wiki/Artois,Bretonnia,,Grand-Province
LYONESSE,Duchy of Lyonesse,"Lyonesse, formally the Dukedom of Lyonesse, is one of the founding dukedoms of Bretonnia that lies upon the north-western shores of that kingdom. One of the larger dukedoms following its annexation of Mousillon several centuries earlier, the lands of Lyonesse are infamously known for their rivalry not with the other Bretonnian dukedoms, but amongst their own nobility, even in comparison to the feudal conflicts which plague the other realms of Bretonnia.",,https://warhammerfantasy.fandom.com/wiki/Lyonesse,Bretonnia,,Grand-Province
L'ANGUILLE,Duchy of L'Anguille,"L'Anguille, formally the Dukedom of L'Anguille, is a dukedom of Bretonnia that lies at the northern shores of that kingdom. Known far and wide for having some of the busiest ports in all of Bretonnia, L'Anguille is a rich dukedom that relies heavily on sea-trade for their fortunes. As such, there is a large number of merchants and middle-class commoners amongst the peasant population of the capital.",,https://warhammerfantasy.fandom.com/wiki/L%27Anguille,Bretonnia,,Grand-Province
MOUSILLON,Duchy of Mousillon,"Mousillon, formally the Dukedom of Mousillon, was a founding dukedom of Bretonnia whose territory once stretched along the western shores of that realm. Ever since the fall of its last duke, Mousillon has become a cursed, impoverished land that is plagued by constant misfortunes, disease and the attention of dark powers. Having since lost its status as an official dukedom of the kingdom, the land of Mousillon is the smallest of the twelve dukedoms of Bretonnia, even though it was once known as the most beautiful and fairest of them all.",,https://warhammerfantasy.fandom.com/wiki/Mousillon,Bretonnia,,Grand-Province
BASTONNE,Duchy of Bastonne,"Bastonne, formally the Dukedom of Bastonne. is a founding dukedom of Bretonnia that lies at the very centre of that kingdom. Bastonne was at one time the very heart of all Bretonnia, its founding duke being none other than Gilles le Breton, first King of Bretonnia.",,https://warhammerfantasy.fandom.com/wiki/Bastonne,Bretonnia,,Grand-Province
BORDELEAUX,Duchy of Bordeleaux,"Bordeleaux, formally the Dukedom of Bordeleaux, is a founding dukedom of Bretonnia that lies on the western coast of that kingdom, just south of the cursed lands of Mousillon. Known as the largest exporter of wines within the entire kingdom, Bordeleaux is a beautiful land filled with many farms and vineyards.",,https://warhammerfantasy.fandom.com/wiki/Bordeleaux,Bretonnia,,Grand-Province
AQUITAINE,Duchy of Aquitaine,"Aquitaine, formally the Dukedom of Aquitaine, is a founding dukedom of Bretonnia that lies upon the gentle western coastlands of that realm. Known for having one of the most tranquil lands within the entire Old World, Aquitaine is famous for its highly arable farmlands and its gentle sandy shores.",,https://warhammerfantasy.fandom.com/wiki/Aquitaine,Bretonnia,,Grand-Province
BRIONNE,Duchy of Brionne,"Brionne, formally the Dukedom of Brionne, is a founding dukedom of Bretonnia that lies at the southern tip of that kingdom's western coast, just below the tranquil lands of Aquitaine. Being surrounded by powerful allies and far away from major threats, Brionne is famous for its beautiful and tranquil landscape, second only to its brethren within Aquitaine itself.",,https://warhammerfantasy.fandom.com/wiki/Brionne,Bretonnia,,Grand-Province
CARCASSONE,Duchy of Carcassone,"Carcassonne, formally the Dukedom of Carcassonne, is a founding dukedom of Bretonnia that lies in the extreme south of that kingdom. Its current ruler is Duke Huebald. A highly martial dukedom, even in comparison to other Bretonnian provinces well known for their valour, Carcassonne is a heavily militarised land that focuses its efforts on the eradication of the Greenskin tribes that infest the Irrana Mountains on its southern border.",,https://warhammerfantasy.fandom.com/wiki/Carcassonne,Bretonnia,,Grand-Province
QUENELLES,Duchy of Quenelles,"Quenelles, formally the Dukedom of Quenelles, is a founding dukedom of Bretonnia that lies upon the borders of Athel Loren, in the south-eastern corner of that realm. Being one of the largest out of all the Bretonnian dukedoms following their annexation of Cuileux during a Greenskin invasion in 900 IC, Quenelles is so large that it surrounds the entire mountain range of Massif Orcal.",,https://warhammerfantasy.fandom.com/wiki/Quenelles,Bretonnia,,Grand-Province
PARRAVON,Duchy of Parravon,"Parravon, formally the Dukedom of Parravon, is a founding dukedom of Bretonnia that lies upon the southern reaches of the Grey Mountains. Forming one of the three dukedoms that serve as a barrier between the interior of Bretonnia and the lands of the Empire, Parravon commands the southern territories of the kingdom centred around the Grey Lady Pass, one of three routes between the realms that allows overland trade between Bretonnia and the Empire.",,https://warhammerfantasy.fandom.com/wiki/Parravon,Bretonnia,,Grand-Province
GISOREUX,Duchy of Gisoreux,"Gisoreux, formally the Dukedom of Gisoreux, is a founding dukedom of Bretonnia that lies within the treacherous slopes of the Pale Sisters and upon the low woodlands of the Forest of Arden. Unlike in other parts of Bretonnia, where much of the land is either one type of landscape and of one type of people, the diversity in geography of this Dukedom has also created a diversity in cultures and customs.",,https://warhammerfantasy.fandom.com/wiki/Gisoreux,Bretonnia,,Grand-Province
MONTFORT,Duchy of Montfort,"Montfort, formally the Dukedom of Montfort, is a founding dukedom of Bretonnia that lies on the eastern borders of the kingdom, along the central spine of the Grey Mountains. Stretching from the Gisoreux Gap to the north and Axe Bite Pass to the south, the Dukedom of Montfort acts as the central buffer state between the lands of Bretonnia and those within the Empire of Man. Almost all of Montfort lies within the Grey Mountains, with what little arable land exists being devoted solely to agriculture.",,https://warhammerfantasy.fandom.com/wiki/Montfort,Bretonnia,,Grand-Province
"PRIMORYE OBLAST
(Western Oblast)",Primorye Oblast,"The Western Oblast is the westernmost oblast region of Kislev. It is found between the River Lynsk and the Lesser Tobol, and includes the massive moorland known as the Blight. The Western Oblast is largely flat, steppe-like terrain and almost completely devoid of forest. Most of the region is composed of steppelands, but the southern regions and the area near the Empire’s border are farmed to a significant extent.",,https://warhammerfantasy.fandom.com/wiki/Western_Oblast,Kislev,,Grand-Province
"POLYANYA OBLAST
(Southern Oblast)",Polyania Oblast,"The Southern Oblast is the southern oblast region of Kislev. Located south of the Lesser Tobol, and west of the Worlds Edge Mountains, the Southern Oblast has the mildest climate in the country, and, as a result, is the main farming region. Arable farming, at least of oats, is possible almost everywhere, and there are even some orchards.",,https://warhammerfantasy.fandom.com/wiki/Southern_Oblast,Kislev,,Grand-Province
"UNGOLSK OBLAST
(Eastern Oblast)",Ungolsk Oblast,"The Eastern Oblast is the easternmost oblast region of Kislev, located between the River Lynsk, the Lesser Tobol, and the Worlds Edge Mountains. Much of the Eastern Oblast is true steppeland, though south of the River Lynsk there are some croplands to be found as well. In the east, the foothills and lower peaks of the Worlds Edge Mountains are counted as part of the region, and much timber is brought down from the forests of those foothills to supply the more settled stanitsas.",,https://warhammerfantasy.fandom.com/wiki/Eastern_Oblast,Kislev,,Grand-Province
"KAMENNAYA ZIMA
(Troll Country)",Kamennaya Zima,"The Troll Country is a region of the northern Old World within the realm of Kislev that consists of steppeland slowly turning into tundra as one travels north before meeting the great mountains and the edge of the Chaos Wastes. It is some of the least-forgiving land in the Old World, and no farming is possible. There are some forests and two main ranges of hills, but for the most part, the Troll Country is largely flat. ",,https://warhammerfantasy.fandom.com/wiki/Troll_Country,Kislev,,Grand-Province
"SEVERYNA OBLAST
(Northern Oblast)",Severyna Oblast,"The Northern Oblast is the northernmost oblast region of Kislev. Most of the Northern Oblast is classic steppe-plains or gentle hills covered with long grass and grazed upon by herds of horses and cattle. In the region between the River Tobol and the River Lynsk, the Northern Oblast has harsher and longer winters than the more southerly regions of Kislev, and the weather can easily turn very frigid in the spring and autumn.",,https://warhammerfantasy.fandom.com/wiki/Northern_Oblast,Kislev,,Grand-Province
MAGRITTA,Crown of Magritta,"Magritta, formally the Kingdom of Magritta, is the largest and one of the most important cities in Estalia. Built by natural deep-water harbours within the sheltered Bay of Quietude, its reputation as a friendly port with ready markets for all manner of cargoes draws traders from many ports across the world of Mallus. Its quays are usually crowded, and, among the assortment of Old Worlder merchantmen, one can occasionally catch a glimpse of a strangely rigged craft from Araby or even further afield.",,https://warhammerfantasy.fandom.com/wiki/Magritta,Estalia,,Grand-Province
BILBALI,Crown of Bilbali,"Bilbali, officially the Kingdom of Bilbali, is the second largest settlement in Estalia, second only to Magritta, and the primary population centre in the north of the country. Bilbali officially rules an area between the sea in the north and the River Tarmos. Together with Magritta, it is currently one of the two most powerful kingdoms of Estalia.",,https://warhammerfantasy.fandom.com/wiki/Bilbali,Estalia,,Grand-Province
