Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Castle Artois,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Castle Carrard,,,,"""source:WAWA6E""",castle,,,,,,,,,,,
Castle Desfleuve,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Castle Dubois,,,,"""source:WHMonthly""",castle,,,,,,,,,,,
Castle Garamont,,,,"""source:KniErrant""",castle,,Bastonne,,,,,,,,,
Castle Gransette,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Castle Rachard,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Castle Sangasse,,,,"""source:KoB""",castle,,,,,,,,,,,
Cavour,,,,"""source:WDM""",,,,,,,,,,,,
Chambourt,,,,"""source:SonHeir""",,,,,,,,,,,,
Chamburg,,,,"""source:WFB8e""",,,,,,,,,,,,
Chantillon,,,,"""source:MoWC""",,,,,,,,,,,,
Chateau D'Epee,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Chateau de Chegney,,,,"""source:WHMonthly""",castle,,,,,,,,,,,
Chateau Lovarre,,,,"""source:WHMonthly""",castle,,,,,,,,,,,
Chatlon,,,,"""source:MadAlfred""",,,,,,,,,,,,
Chimay,,,,"""source:BretProj""",,,,,,,,,,,,
Chinon,,,,"""source:MadAlfred""",,,,,,,,,,,,
Christofains,,,,"""source:WHMonthly""",,,,,,,,,,,,
Cixous,,,,"""source:TVS""",,,,,,,,,,,,
Coutras,,,,"""source:MadAlfred""",,,,,,,,,,,,
Crac de Sang,,,,"""source:RedDuke""",castle,,,,,,,,,,,
D'Ason,,,,"""source:WFB6e""",,,,,,,,,,,,
Deauville,,,,"""source:MadAlfred""",,,,,,,,,,,,
Derrevin Libre,,,,"""source:2eKotG""",,,,,,,,,,,,
Descloux,,,,"""source:MadAlfred""",,,,,,,,,,,,
Desroches,,,,"""source:2eKotG""",,,,,,,,,,,,
Embrun,,,,"""source:MadAlfred""",,,,,,,,,,,,
Ferignac,,,,"""source:TVS""",,,,,,,,,,,,
Fluvia,,,,"""source:2eKotG""",,,,,,,,,,,,
Ganet,,,,"""source:MadAlfred""",,,,,,,,,,,,
Garban Hold,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Gasgoigne,,,,"""source:4eDSLF""","character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Gaudaron Keep,,,,"""source:WDM""",castle,,,,,,,,,,,
Gien,,,,"""source:MadAlfred""",,,,,,,,,,,,
Grasgar Castle,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Grenouille Gate,,,,"""source:2eBotD""",castle,,,,,,,,,,,
Grunere,,,,"""source:MadAlfred""",,,,,,,,,,,,
Guerac Circle,,,,"""source:2eKotG""",,,,,,,,,,,,
Hautmont,,,,"""source:MadAlfred""",,,,,,,,,,,,
Hendaye,,,,"""source:MoWC""",,,,,,,,,,,,
Jouinard,,,,"""source:MadAlfred""",,,,,,,,,,,,
La Maisontaal Abbey,,,,"""source:4eDSLF""",,,,,,,,,,,,
Laguiller,,,,"""source:TVS""",,,,,,,,,,,,
Malmont,,,,"""source:1eCRB""",Grail Chapel,,,,,,,,,,,
Mayenne,,,,"""source:MadAlfred""",,,,,,,,,,,,
Mercal,,,,"""source:RedDuke""",,,,,,,,,,,,
Mondidier,,,,"""source:MadAlfred""",,,,,,,,,,,,
Monthac,,,,"""source:BretProj""",,,,,,,,,,,,
Montjoie,,,,,"character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Montlac,,,,"""source:MadAlfred""",,,,,,,,,,,,
Mortaise,,,,,"character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Moutier,,,,"""source:MadAlfred""",,,,,,,,,,,,
Mufflons,,,,"""source:BretProj""",,,,,,,,,,,,
Muret,,,,"""source:TVS""",,,,,,,,,,,,
Naizon,,,,"""source:MadAlfred""",,,,,,,,,,,,
Ora Lamae,,,,"""source:1eCRB""",,,,,,,,,,,,
Outremer,,,,,"character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Poussenc,,,,"""source:BretProj""",,,,,,,,,,,,
Poussene,,,,"""source:MadAlfred""",,,,,,,,,,,,
Rochefort,,,,"""source:BretProj""",,,,,,,,,,,,
Rondeau,,,,"""source:BrianCraig""",,,,,,,,,,,,
Saint-Jacques,,,,"""source:BretProj""",,,,,,,,,,,,
Sanglac Castle,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Serrac,,,,"""source:2eKotG""",,,,,,,,,,,,
Soude,,,,"""source:MadAlfred""",,,,,,,,,,,,
Summersfall Fort,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Tancred Castle,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Tharravil,,,,"""source:2eKotG""",,,,,,,,,,,,
The Humble Chapel,,,,"""source:2eKotG""",monastery,,,,,,,,,,,
Tor Bidouze,,,,"""source:TOW""",other,,,,,,,,,,,
Tor Martel,,,,"""source:TOW""",other,,,,,,,,,,,
Tor Soleil,,,,"""source:TOW""",other,,,,,,,,,,,
Turris Vigilans,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Uesin,,,,"""source:2eKotG""",,,,,,,,,,,,
Valois,,,,"""source:MadAlfred""",,,,,,,,,,,,
Vergirac,,,,"""source:BretProj""",,,,,,,,,,,,
Vingtiennes,,,,"""source:MadAlfred""",,,,,,,,,,,,
Wainfleet,,,,"""source:KniErrant""",,,,,,,,,,,,
